"","country","personnel","om","housing1","housing2","construction","total","year","housing","revolving"
"1","Australia",10.3,23,NA,NA,NA,33.3,2013,NA,NA
"2","Belgium",107.1,101.6,7.6,NA,24.9,241.2,2013,NA,NA
"3","Germany",3236.4,2399.3,351.1,NA,224,6210.8,2013,NA,NA
"4","Italy",821.3,616.9,92.5,NA,77.3,1608,2013,NA,NA
"5","Japan",2987.6,1762.7,264.5,118,366.3,5499.9,2013,NA,NA
"6","Kuwait",7.6,13.6,NA,NA,NA,21.2,2013,NA,NA
"7","Netherlands",46.8,35.5,4.5,NA,NA,86.8,2013,NA,NA
"8","Portugal",52.3,28.5,6.3,NA,2,89.1,2013,NA,NA
"9","South Korea",2050.6,580.8,41.7,NA,128.2,2801.3,2013,NA,NA
"10","Spain",143.2,81.6,12.6,NA,16.3,253.7,2013,NA,NA
"11","Turkey",100.3,152.8,9.1,NA,NA,262.2,2013,NA,NA
"12","United Kingdom",697.2,530.8,46,NA,80.7,1354.7,2013,NA,NA
"13","Australia",7.4,23.6,NA,NA,NA,31,2014,NA,NA
"14","Belgium",117.6,40.5,5.3,NA,67.6,230.9,2014,NA,NA
"15","Germany",2953.9,1525.9,253.8,NA,324.9,5058.5,2014,NA,NA
"16","Italy",890.8,538,76.8,NA,NA,1505.6,2014,NA,NA
"17","Japan",1673,1500.9,219.4,117.9,212.5,3723.8,2014,NA,NA
"18","Kuwait",5.1,2.2,NA,NA,63,70.3,2014,NA,NA
"19","Netherlands",43.9,15.4,3.2,NA,NA,62.5,2014,NA,NA
"20","Poland",NA,NA,NA,NA,NA,NA,2014,NA,NA
"21","Portugal",23.7,44.4,6.4,NA,NA,74.5,2014,NA,NA
"22","South Korea",2050.3,226.1,32.9,NA,52.2,2361.5,2014,NA,NA
"23","Spain",123.8,161.9,19.3,NA,NA,305,2014,NA,NA
"24","Turkey",101.3,134.5,7.1,NA,NA,242.9,2014,NA,NA
"25","United Kingdom",703,523.9,43,NA,87.4,1357.2,2014,NA,NA
"26","Australia",73.1,23.1,NA,NA,9.6,105.8,2015,NA,NA
"27","Belgium",116.1,32.4,3,NA,79.5,231,2015,NA,NA
"28","Germany",2796.2,1105.9,224.9,NA,189.7,4316.6,2015,NA,NA
"29","Italy",885.4,471.7,74.5,NA,44.5,1476.1,2015,NA,NA
"30","Japan",3020.6,1949.7,249.2,15.9,323.1,5558.6,2015,NA,NA
"31","Kuwait",139.8,2.1,NA,NA,NA,141.9,2015,NA,NA
"32","Netherlands",42.6,9.8,2.2,NA,NA,54.6,2015,NA,NA
"33","Poland",NA,NA,NA,NA,22.4,22.4,2015,NA,NA
"34","Portugal",47.2,8.1,3.2,NA,NA,58.4,2015,NA,NA
"35","South Korea",1766.5,838.5,33.9,57.8,NA,2696.8,2015,NA,NA
"36","Spain",184.4,132.1,14.8,NA,20.2,351.5,2015,NA,NA
"37","Turkey",102.3,68.2,5,NA,NA,175.5,2015,NA,NA
"38","United Kingdom",650,227,35.6,NA,92.2,1004.8,2015,NA,NA
